white_pixels,contours,label
42281,176,200
47610,196,200
45177,173,200
42606,190,200
45738,180,200
42166,179,200
47569,187,200
42624,186,200
41456,178,200
46658,198,200
43216,193,200
43420,177,200
45892,183,200
45551,201,200
45697,181,200
41895,158,200
43300,191,200
43139,180,200
44020,179,200
47238,187,200
43075,181,200
44619,195,200
44198,187,200
43795,190,200
46571,182,200
42904,179,200
44692,169,200
45646,179,200
46392,182,200
43461,183,200
42928,179,200
46272,192,200
46108,181,200
46692,191,200
43314,195,200
47737,172,200
47909,180,200
45352,186,200
47373,169,200
41895,184,200
43245,180,200
48589,187,200
47211,172,200
47493,172,200
47697,183,200
42920,183,200
41912,181,200
45871,183,200
48209,192,200
42646,186,200
40663,169,200
46931,171,200
47240,183,200
45876,197,200
48788,176,200
