white_pixels,contours,feature_detection,label
60033,328,293,300
63908,270,288,300
64642,304,291,300
61825,303,303,300
63861,297,285,300
63513,306,291,300
65509,290,312,300
62048,295,287,300
64897,267,285,300
64373,311,288,300
65045,305,289,300
63763,310,300,300
64490,298,287,300
65916,314,291,300
65700,308,284,300
64286,313,285,300
64476,328,290,300
60473,274,300,300
60538,251,318,300
63154,294,290,300
65047,278,286,300
61989,284,322,300
61275,276,288,300
64578,310,297,300
60829,295,314,300
63701,286,289,300
60977,276,287,300
64534,285,304,300
66191,283,298,300
61276,269,286,300
66191,310,286,300
61460,295,297,300
61775,279,288,300
65988,318,292,300
59039,270,287,300
66445,284,296,300
62402,269,300,300
66375,283,289,300
73652,376,288,300
61361,297,286,300
61773,274,297,300
66170,308,296,300
60220,291,285,300
63218,332,301,300
61287,276,327,300
63192,297,285,300
62494,298,288,300
61585,296,308,300
63725,295,288,300
62104,283,288,300
